author_sort,authors,comments,cover,timestamp,#formats,formats,isbn,identifiers,languages,library_name,pubdate,publisher,rating,#read,series,series_index,size,tags,title,title_sort,id,uuid
"Winkler, Ira",Ira Winkler,"Ira Winkler has been dubbed ""A Modern Day James Bond"" by CNN and other media outlets for his ability to simulate espionage attacks against many of the top companies in the world, showing how billions of dollars can disappear. This unique book is packed with the riveting, true stories and case studies of how he did it-and how people and companies can avoid falling victim to the spies among us. American corporations now lose as much as $300 billion a year to hacking, cracking, physical security breaches, and other criminal activity. Millions of people a year have their identities stolen or fall victim to other scams. In Spies Among Us, Ira Winkler reveals his security secrets, disclosing how companies and individuals can protect themselves from even the most diabolical criminals. He goes into the mindset of everyone from small-time hackers to foreign intelligence agencies to disclose cost-effective countermeasures for all types of attacks. In Spies Among Us, readers learn: * Why James Bond and Sydney Bristow are terrible spies * How a team was able to infiltrate an airport in a post-9/11 world and plant a bomb * How Ira and his team were able to steal nuclear reactor designs in three hours * The real risks that individuals face from the spies that they unknowingly meet on a daily basis * Recommendations for how companies and individuals can secure themselves against the spies, criminals, and terrorists who regularly cross their path
","~./Dropbox/The Tome/Ira Winkler/Spies Among Us_ How to Stop the Spies, Terrorists, Hackers, and Criminals You Don't Even Know Yo (3)/cover.jpg",2021-05-26T19:34:18-04:00,AZW3,azw3,9.78076E+12,"isbn:9780764584688,google:4arJngEACAAJ",eng,The Tome,2005-04-08T00:00:00-04:00,Wiley,,FALSE,,1,598225,,"Spies Among Us: How to Stop the Spies, Terrorists, Hackers, and Criminals You Don't Even Know You Encounter Every Day","Spies Among Us: How to Stop the Spies, Terrorists, Hackers, and Criminals You Don't Even Know You Encounter Every Day",3,15742bed-0b58-480c-a812-bc24fc80a364
"Vo, Nghi",Nghi Vo,"A 2021 Finalist for the Hugo Award | the Locus Award | the Ignyte AwardWinner of the 2020 Crawford Award!""Dangerous, subtle, unexpected and familiar, angry and ferocious and hopeful... The Empress of Salt and Fortune is a remarkable accomplishment of storytelling.""—NPRA 2020 ALA Booklist Top Ten SF/F Debut | A Book Riot Must-Read Fantasy of 2020 | A Paste Most Anticipated Novel of 2020 | A Library Journal Debut of the Month | A Buzzfeed Must-Read Fantasy Novel of Spring 2020 | A Goodreads Choice Award Finalist | A Washington Post Best SFF of the Year So Far PickNamed Book Riot's Best Book Cover of 2020Named a Best of 2020 Pick for NPR | Library Journal | NYPL | Chicago Public Library | The Austen Chronicle | AutostraddleWith the heart of an Atwood tale and the visuals of a classic Asian period drama, Nghi Vo's The Empress of Salt and Fortune is a tightly and lushly written narrative about empire, storytelling, and the anger of women.A young royal from the far north, is sent south for a political marriage in an empire reminiscent of imperial China. Her brothers are dead, her armies and their war mammoths long defeated and caged behind their borders. Alone and sometimes reviled, she must choose her allies carefully.Rabbit, a handmaiden, sold by her parents to the palace for the lack of five baskets of dye, befriends the emperor's lonely new wife and gets more than she bargained for.At once feminist high fantasy and an indictment of monarchy, this evocative debut follows the rise of the empress In-yo, who has few resources and fewer friends. She's a northern daughter in a mage-made summer exile, but she will bend history to her will and bring down her enemies, piece by piece.The Singing Hills CycleThe Empress of Salt and FortuneWhen the Tiger Came Down the MountainInto the RiverlandsThe novellas of The Singing Hills Cycle are linked by the cleric Chih, but may be read in any order, with each story serving as an entrypoint.Praise for The Empress of Salt and Fortune“An elegant gut-punch, a puzzle box that unwinds itself in its own way and in its own time. I cannot recommend it highly enough. Gorgeous. Cruel. Perfect. I didn't know I needed to read this until I did.”—Seanan McGuire""A tale of rebellion and fealty that feels both classic and fresh, The Empress of Salt and Fortune is elegantly told, strongly felt, and brimming with rich detail. An epic in miniature, beautifully realised.""—Zen Cho""Nghi Vo's gracefully told debut . . . resides in the intimate margins of its (beautifully imagined) world's history, portraying how the marginalized may yet shape those narratives and harness the power of stories.""—Indrapramit DasAt the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.
",~./Dropbox/The Tome/Nghi Vo/The Empress of Salt and Fortune (4)/cover.jpg,2021-05-26T19:34:26-04:00,AZW3,azw3,9.78125E+12,"google:GRSkDwAAQBAJ,isbn:9781250750297",eng,The Tome,2020-03-24T00:00:00-04:00,Tom Doherty Associates,,FALSE,,1,605805,"Fiction, Fantasy, Epic, Lgbtq+, Lesbian",The Empress of Salt and Fortune,"Empress of Salt and Fortune, The",4,7ce46e1b-5a29-4897-af9a-d9ebb95587d1
"Bodard, Aliette de",Aliette de Bodard,"Once, the mindship known as <i>The Shadow's Child</i> was a military transport. Once, she leapt effortlessly between stars and planets, carrying troops and crew for a war that tore the Empire apart. Until an ambush killed her crew and left her wounded and broken.<br>Now the war is over, and <i>The Shadow's Child</i>, surviving against all odds, has run away. Discharged and struggling to make a living, she has no plans to go back into space. Until the abrasive and arrogant scholar Long Chau comes to see her. Long Chau wants to retrieve a corpse for her scientific studies: a simple enough, well-paid assignment.<br>But when the corpse they find turns out to have been murdered, the simple assignment becomes a vast and tangled investigation, inexorably leading back to the past—and, once again, to that unbearable void where <i>The Shadow's Child</i> almost lost both sanity and life... <br><i>""The Tea Master and the Detective is the Sherlock Holmes retelling I always wanted and now I...",~./Dropbox/The Tome/Aliette de Bodard/The Tea Master and the Detective (5)/cover.jpg,2021-05-26T20:18:32-04:00,AZW3,azw3,9.78163E+12,isbn:9781625673664,eng,The Tome,2018-05-15T00:00:00-04:00,"Jabberwocky Literary Agency, Inc.",,FALSE,,1,1052821,,The Tea Master and the Detective,"Tea Master and the Detective, The",5,01248b3b-5580-4afd-ba39-77f1f973d72e
"El-Mohtar, Amal & Gladstone, Max",Amal El-Mohtar & Max Gladstone,"<b>Two time-traveling agents from warring futures, working their way through the past, begin to exchange letters&#8212;and fall in love in this thrilling and romantic book from award-winning authors Amal-El Mohtar and Max Gladstone.</b><BR>Among the ashes of a dying world, an agent of the Commandant finds a letter. It reads: <i>Burn before reading. </i><BR> <BR>Thus begins an unlikely correspondence between two rival agents hellbent on securing the best possible future for their warring factions. Now, what began as a taunt, a battlefield boast, grows into something more. Something epic. Something romantic. Something that could change the past and the future.<BR> <BR>Except the discovery of their bond would mean death for each of them. There's still a war going on, after all. And someone has to win that war. That's how war works. Right?<BR> <BR>Cowritten by two beloved and award-winning sci-fi writers, <i>This Is How You Lose the Time War </i>is an epic love story spanning time and...",~./Dropbox/The Tome/Amal El-Mohtar/This Is How You Lose the Time War (6)/cover.jpg,2021-05-27T22:22:49-04:00,AZW3,azw3,9.78153E+12,isbn:9781534431010,eng,The Tome,0100-12-31T19:00:00-05:00,Gallery / Saga Press,,FALSE,,1,2361234,,This Is How You Lose the Time War,This Is How You Lose the Time War,6,dac8c3b0-e81d-456c-a9d2-e6bb9d74184b
"Robson, Kelly",Kelly Robson,Waters of Versailles by Kelly Robson is a charming novella of court intrigue in 1738 Versailles as a clever former soldier makes his fortune by introducing a modern water system (and toilets) to the ladies of the palace. He does this with magical help that he may not be able to control.,~./Dropbox/The Tome/Kelly Robson/Waters of Versailles (7)/cover.jpg,2021-05-27T22:28:19-04:00,AZW3,azw3,9.78147E+12,isbn:9781466888227,eng,The Tome,0100-12-31T19:00:00-05:00,Tom Doherty Associates,,FALSE,,1,1428224,,Waters of Versailles,Waters of Versailles,7,223cf931-0283-4580-b427-d5ff23c37ddc
"Drake, David",David Drake,"The Second of Three Volumes Collecting the Complete Best-Selling Series That Rocketed David Drake to Military Science Fiction Stardom. 
This Omni-trade paperback volume collects the first four novles in the series: At Any Price, Counting the Cost, Rolling Hot, and The Warrior-all have been out of print and unavailable for several years.. 
Neither stainless white knights nor bloodthirsty killers, the Slammers are competent professionals, with recognizable human flaws, engaged in a deadly business. Their interanl conflicts, set against vivid scenes of battle, make their stories exciting and compelling. 
This is the second of the three volume set presenting for the first time the entire genre-defining Slammers series in uniform Omni-trade paperback volumes, with new intoductions by major SF figures and new afterwords by David Drake. Each volume will also include a Slmmers story not collected in previous Slammer's books. 
""Fans of Drake's edgy stories of a mercenary tank regiment in a future not all that different from our present will rejoice {at the publication of} the entire series in three volumes. Drake, a Vietnam vet who served in the Blackhorse Regiment, use prose as cold and hard as the metal alloy of a tank to portray the men and women of Hammer's Regiment.... In his depicition of combat, Drake rivals Crane and Remarque."" 
**
",~./Dropbox/The Tome/David Drake/The Complete Hammer's Slammers Volume 2 (9)/cover.jpg,2021-06-01T19:23:24-04:00,AZW3,azw3,9.78144E+12,"isbn:9781439133347,google:OjRGPwAACAAJ,amazon:1439133344",eng,The Tome,2010-02-02T00:00:00-05:00,Baen,5,FALSE,Hammer's Slammers Combo Volumes,2,1363280,,The Complete Hammer's Slammers Volume 2,"Complete Hammer's Slammers Volume 2, The",9,1cf076f8-d482-4162-a885-c7d565b13ccd
"Drake, David",David Drake,"The Best-Selling Series That Rocketed David Drake to Military Science Fiction Stardom.   
The First of Three Volumes Collecting the Complete Series. 
With a veteran’s eye for the harsh and gritty details of war, David Drake depicts a futuristic analog of tank combat in his Hammer’s Slammers fiction. The Slammers are neither cartoon heroes nor propaganda villains; rather they are competent professionals engaged in a deadly business. The inevitable conflicts between policy, necessity, and human nature make Drake’s Slammers fiction instantly identifiable and utterly compelling. This is the first of a three volume set presenting for the first time the entire genre-defining Slammers series in a uniform trade paperback set, with new introductions by major SF figures and new afterwords by David Drake. Each volume will also include a Slammers story not collected in previous Slammer’s books. 
“Fans of Drake's edgy stories of a mercenary tank regiment in a future not all that different from our present will rejoice [at the publication of] the entire series in three volumes. Drake, a Vietnam vet who served in the Blackhorse Regiment, uses prose as cold and hard as the metal alloy of a tank to portray the men and women of Hammer's Regiment. . . . In his depiction of combat, Drake rivals Crane and Remarque.” 
— *Publishers Weekly* , reviewing the Night Shade hardcover edition **
",~./Dropbox/The Tome/David Drake/The Complete Hammer's Slammers Volume 1 (10)/cover.jpg,2021-06-01T19:23:24-04:00,AZW3,azw3,9.78144E+12,"isbn:9781439133095,amazon:1439133093,google:AkPFvQEACAAJ",eng,The Tome,2009-10-06T00:00:00-04:00,Baen,5,FALSE,Hammer's Slammers Combo Volumes,1,1069033,,The Complete Hammer's Slammers Volume 1,"Complete Hammer's Slammers Volume 1, The",10,18324961-c90b-40ae-9ffc-f24e45ee95f5
"Drake, David",David Drake,"The Third of Three Volumes Collecting the Complete Best-Selling Series That Rocketed David Drake to Military Science Fiction Stardom. 
This Omni-Trade paperback volume collects the two full-length novels, *The Sharp End* and *Paying the Piper* , plus “The Darkness,” a novelette which has not appeared in previous Slammers books. 
The Hammers are very flawed and imperfect human beings—but they know their jobs, and they get those jobs done, one way or another. If your nation or your planet is under attack, and you want plaster saints to save the day . . . well, lots of luck, and it’s been nice knowing you. But if you *really* want your chestnuts pulled out of the fire, hire Colonel Hammer’s troops. They’ll never win a beauty contest, or even a consolation price for “most congenial,” but they’ll win the war—because they’re the best. They’re Hammer’s Slammers. 
This is the third of a three volume set presenting for the first time the entire genre-defining Slammers series in uniform Omni-trade paperback volumes, with new introductions by major SF figures and new afterwords by David Drake. Each volume will also include a Slammers story not collected in previous Slammer’s books. 
“Fans of Drake's edgy stories of a mercenary tank regiment in a future not all that different from our present will rejoice [at the publication of] the entire series in three volumes. Drake, a Vietnam vet who served in the Blackhorse Regiment, uses prose as cold and hard as the metal alloy of a tank to portray the men and women of Hammer's Regiment. . . . In his depiction of combat, Drake rivals Crane and Remarque.” 
— *Publishers Weekly* , reviewing the Night Shade hardcover edition **
",~./Dropbox/The Tome/David Drake/The Complete Hammer's Slammers Volume 3 (11)/cover.jpg,2021-06-01T19:23:24-04:00,AZW3,azw3,9.78144E+12,"google:SqgvygEACAAJ,isbn:9781439133965,amazon:1439133964",eng,The Tome,2010-11-02T00:00:00-04:00,Baen,5,FALSE,Hammer's Slammers Combo Volumes,3,1217510,,The Complete Hammer's Slammers Volume 3,"Complete Hammer's Slammers Volume 3, The",11,81bd29d5-a01a-4964-97d7-c9245d34041f
"Robinson, Kim Stanley",Kim Stanley Robinson,"<h3>Amazon.com Review</h3><p><em>Red Mars</em> opens with a tragic murder, an event that becomes the focal point for the surviving characters and the turning point in a long intrigue that pits idealistic Mars colonists against a desperately overpopulated Earth, radical political groups of all stripes against each other, and the interests of transnational corporations against the dreams of the pioneers.</p><p>This is a vast book: a chronicle of the exploration of Mars with some of the most engaging, vivid, and <em>human</em> characters in recent science fiction. Robinson fantasizes brilliantly about the science of terraforming a hostile world, analyzes the socio-economic forces that propel and attempt to control real interplanetary colonization, and imagines the diverse reactions that humanity would have to the dead, red planet. </p><p><em>Red Mars</em> is so magnificent a story, you will want to move on to __ and <strong>, or 1998's </strong>. <em>--L. Blunt Jackson</em></p><h3>From Publishers Weekly</h3><p>The first installment in Robinson's ( Blind Geometer ) new trilogy is an action-packed and thoughtful tale of the exploration and settlement of Mars--riven by both personal and ideological conflicts--in the early 21st century. The official leaders of the ""first hundred"" (initial party of settlers) are American Frank Chalmers and Russian Maya Katarina Toitova, but subgroups break out under the informal guidance of popular favorites like the ebullient Arkady Nikoleyevich Bogdanov, who sets up a base on one of Mars's moons, and the enigmatic Hiroko, who establishes the planet's farm. As the group struggles to secure a foothold on the frigid, barren landscape, friction develops both on Mars and on Earth between those who advocate terraforming, or immediately altering Mars's natural environment to make it more habitable, and those who favor more study of the planet before changes are introduced. The success of the pioneers' venture brings additional settlers to Mars. All too soon, the first hundred find themselves outnumbered by newcomers and caught up in political problems as complex as any found on Earth. <br />Copyright 1992 Reed Business Information, Inc. </p>",~./Dropbox/The Tome/Kim Stanley Robinson/Red Mars (12)/cover.jpg,2021-06-01T19:43:46-04:00,AZW3,azw3,9.78055E+12,isbn:9780553560732,eng,The Tome,1993-10-01T05:19:02-04:00,"Random House, Inc.",,FALSE,Mars,1,1141777,,Red Mars,Red Mars,12,bc29aa7e-058f-4064-9550-49c5b43e2440
"Robinson, Kim Stanley",Kim Stanley Robinson,"<h3>Amazon.com Review</h3><p>Kim Stanley Robinson has earned a reputation as the master of Mars fiction, writing books that are scientific, sociological and, best yet, fantastic. <strong>Green Mars</strong> continues the story of humans settling the planet in a process called ""terraforming."" In <strong>Green Mars</strong>, which won the 1994 </p><h3>From Publishers Weekly</h3><p>The sequel to Red Mars details an early 22nd-century Mars controlled by Earth's metanationals, gigantic corporations intent on exploiting Mars. Debate among the settlers--some native-born, some the surviving members of the First Hundred--is divided between the minimalist areoformists, who have come to love Mars in all its harshness, and the terraformists, who want to replicate Earth. As the surface of Mars warms and is seeded with genetically altered plants, the settlers await Earth's self-destruction, which they hope will give them a chance to claim their independence. They travel endlessly over every inch of Mars--no mean feat, since most of the First Hundred are criminals wanted for their roles in the failed revolt of 2061--with each kilometer and each group of settlers they meet described in laborious detail. When they're not traveling, these colonists contemplate the history of which they have been a part and which they can only partially recall as a result of their longevity treatments. With the collapse of Earth society and internecine battles among the metanationals, the Martian settlers liberate their cities and declare their planet free. This wide-ranging novel is loaded with all manner of scientific and historical detail, but the story bogs down under its very breadth and seems almost like a Martian year--twice as long as it needs to be. The next and final volume in the trilogy will be Blue Mars . <br />Copyright 1994 Reed Business Information, Inc. </p>",~./Dropbox/The Tome/Kim Stanley Robinson/Green Mars (13)/cover.jpg,2021-06-01T19:43:46-04:00,AZW3,azw3,9.78055E+12,isbn:9780553572391,eng,The Tome,1995-05-01T05:20:46-04:00,"Random House, Inc.",,FALSE,Mars,2,1174375,,Green Mars,Green Mars,13,2292386c-c9b6-45fe-a6eb-e925ab70ca08
